Move Component(s) Origin to Grid
Filename     : D:\Documents\yujiangtao\aaa1\aaa2\Intermediate_LCL_Revised_20230525.PcbDoc
Date         : 2024/2/22
Time         : 16:51:43
Time Elapsed : 00:00:00


    Small Component TP18-PWMEN2 (9610mil,13240mil) on Top Layer - Component origin is already ON grid.
    Small Component TP17-OT2 (9610mil,13430mil) on Top Layer - Component origin is already ON grid.
    Small Component TP12-PWMEN1 (7700mil,13440mil) on Top Layer - Component origin is already ON grid.
    Small Component TP11-OT1 (7700mil,13250mil) on Top Layer - Component origin is already ON grid.
    Component U21-SN74LVC1G32DCKR (3840.49mil,12956.259mil) on Top Layer - Component pads are OFF grid. No action taken.
    Component U20-SN74AVC8T245RHLR (8920mil,12739.488mil) on Top Layer - Component pads are OFF grid. No action taken.
    Component U19-SN74LVC1G32DCKR (3842.147mil,12696.259mil) on Top Layer - Component pads are OFF grid. No action taken.
    Component U18-SN74AVC8T245RHLR (33910mil,7780mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SOIC Component U12-TMP302BQDRLRQ1 (16490mil,7070mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    Component U11-LP38691SD-3.3/NOPB (12437.976mil,13361.792mil) on Top Layer - Component pads are OFF grid. No action taken.
    SOIC Component U10-TMP302BQDRLRQ1 (8244.358mil,12927.126mil) on Bottom Layer - Component pads are OFF grid. No action taken.
    PGA Component U9-LM5017MRX/NOPB (13070mil,13289mil) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component U8-REF3333AIDBZR (12026.665mil,12982.235mil) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component U7-REF3333AIDBZR (12443.818mil,13077.765mil) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component R126-10.0k (3710.954mil,12922.597mil) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component R125-0 (3656.903mil,12922.597mil) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component R124-10.0k (3837.871mil,13049.468mil) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component R123-10.0k (15797.079mil,13081.189mil) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component R122-10.0k (15858.544mil,13081.189mil) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component R121-10.0k (9260mil,12890mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component R120-10.0k (9210mil,12890mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component R119-10.0k (9160mil,12890mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component R118-10.0k (9110mil,12890mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component R117-10.0k (9060mil,12890mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component R116-10.0k (9010mil,12890mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    SMT Small Component R115-10.0k (15612.685mil,13081.189mil) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component R114-10.0k (15243.898mil,13081.189mil) on Top Layer - Component pads are OFF grid. No action taken.
    SMT Small Component R113-10.0k (15305.362mil,13081.189mil) on Top Layer - Component pads are OFF grid. No action taken.
